,,Обязательные,,Обязательные для текущего грейда,,,,,,,,,,,
,,1,Ответственность,"1. Может выделить достижения на работе (в учебе), то чего уже успел добиться; 
2. Может обозначить какие задачи перед ним поставлены.
3. Делает все задачи, которые дает PM (ОС от PM);",,"1. Может выделять достижения на работе, то, чего успел добиться
2. Делает все поставленные задачи точно в срок, если он сдвигается - предупреждает (ОС от PM, от аналитиков)
3. Понимает какие результаты от него ждут
4. Способен проанализировать сделанные ошибки, видит как внутренние, так и внешние причины",,"то же самое +:

Понимает каких результатов ждут от доверенного ему члена команды (в качестве наставника)",,"1. Может выделять достижения на работе, то, чего успел добиться
2. Делает все поставленные задачи, сам предлагает задачи для достижения целей бизнеса, обозначает сроки и контролирует выполнение.
3. Понимает какие результаты от него ждут
4. Способен проанализировать сделанные ошибки, видит как внутренние, так и внешние объективные причины;
5. Понимает какие результаты ожидаются от работы всей команды и чего ждут от него конкретно. ",,,,,
,,2,Клиентоориентированность,"1. Может назвать примеры помощи коллегам;
2. Понимает зачем нужно помогать коллегам.",,,,"то же самое +:

1. В большинстве случаев не возникают конфликты с коллегами, заказчиками или руководителем (ОС от PM)
2. Всегда решает спорные ситуации с коллегами в большинстве случаев самостоятельно (исключение - ситуации, где без третьей стороны точно не обойдись)",,,,,,,
,,3,Увлечённость делом,"1. Способен выделить плюсы в работе, но также видит и возможные минусы
2. Активно изучает необходимые технологии, следит за изменениями в своей сфере, ситуационно в смежных.",,,,"1. Способен выделить плюсы в работе, но также видит и возможные минусы
2. Активно изучает необходимые технологии, следит за изменениями в своей сфере, ситуационно в смежных областях.
3. Способен четко обозначить в каком направлении хочет развиваться (со стороны технологий, проектного управления и др.).",,"то же самое +:

1. Углубляется в изучение важных для команды/компании технологий, знает, куда нужно углублиться. 
2. Изучает новые практики, применяет их и новые технологии в соответствии с целями и потребностями бизнеса (ОС от PM)
",,,,,
,,4,Ориентация на результат,"1. Может обозначить какие задачи перед ним поставлены. 
2. При возникновении сложностей - ищет разные способы решения задачи, не бросает дело на полпути (+ОС от тимлида) ",,"1. Есть профессиональные цели. 
2. Знает как достичь эти цели. 
3. Планомерно двигается к их достижению
4. Есть критерии достижения цели (на что смотрит, чтобы понять, достигнута цель или нет). ",,,,,,,,,
,,,"Специальные компетенции 
(минимальные требования)",,,,,,,,,,,,
,,5,Обучаемость,"1. Читает проф книги / смотрит курсы /читает профильные статьи или публикации в интернете.
2. Может обозначить чему научился за n-ый промежуток времени, что нового узнал. ",,"1. Читает проф книги / смотрит курсы /читает профильные статьи или публикации в интернете.
2. Может обозначить чему научился самостоятельно, а что с помощью других (наставника, коллег и др.) за n-ый промежуток времени, что нового узнал. 
3. Применяет все, чему научился, на практике. Может привести пример. 
Учится новому с первого раза, не требуется многократное повторение со стороны наставника (ОС от наставника, PM) ",,,,"то же самое +:

2. Обучается самостоятельно - может обозначить чему научился самостоятельно за n-ый промежуток времени, что нового узнал. Применяет то, чему сам научился на практике. Может привести пример. 
3. Проявляет технические инициативы на основе того, чему научился самостоятельно, внедряет в работу других коллег/команд. Основывается на разборе инцидентов, анализе кейсов - практик других компаний. Оценивает риски и преимущества предлагаемых изменений (приводит пример).",,,"то же самое +

Самостоятельно организует и проводит техкомы",,
,,6,Аналитические способности,"1. Если возникает сложная для него задача - ищет возможные пути ее решения, активно спрашивает у наставника, ищет решение в интернете или др. 
2. Хорошо решает типичные для своего уровня задачи (ОС от наставника)",,"1. Если возникает сложная для него задача - самостоятельно ищет возможные пути ее решения.
2. Хорошо решает типичные и привычные для своего уровня задачи (ОС от тимлида",,,,"1. Сложные задачи решать интереснее чем типовые. Может обозначить почему они нравятся боольше. 
2. Способен анализировать возникшую проблему: выделяет причины возникновения проблемы, предлагает решения, чтобы исправить причины, а не следствия.",,,"то же самое +:

1. Анализирует возникшую проблему: выделяет возможные причины возникновения, понимает пути решения, оценивает итоговый результат, что можно было сделать лучше, предлагает ряд профилактических мер с целью предотвращения таких проблем в будущем. Выработал соотвествующие правила /инструкции. ",,
,,7,Способность работы в команде,"1. Хорошо выполняет рабочие задачи как самостоятельно, так и в команде (ОС от наставника и PM)
2. Может привести пример оказания помощи коллеге в рамках выполнения рабочей задачи.",,"
1. Активно взаимодействует с другими членами команды, оказывает повседневную помощь (ОС от PM) 
2. Может выделить плюсы и минусы работы в команде (первых больше) ",,"то же самое +:

1. Есть позитивный опыт наставничества (от 1 чел.) (ОС от новичков)",,"то же самое +:

1. Отмечает в большинстве только плюсы работы в команде, понимает, что без команды не достичь результата.
2. Помогает членам команды в достижении их результата - может привести примеры.  
3. Проводит код ревью коллег, знает что такое конструктивная обратная связь и как ее давать. (+ОС от коллег)        ",,,,,
,,8,Самокритичность,Способен выделить свои сильные и/или слабые стороны.,,,,"Способен четко выделить как слабые, так и сильные стороны. Знает как работать над слабыми (выделяет зоны развития)",,,,,"Четко и структурно выделяет сильные и слабые стороны оносительно выполнения разных профессиональных задач (разработка, коммуникации с коллегами, решение сложных вопросов, наставничество и др.), знает как работать над зонами роста.",,
,,,Дополнительные компетенции,,,,,,,,,,,,
,,9,"Готовность к изменениям, гибкость",-   ,,"Способен быстро переключиться с решения одной задачи на другую, если требуют обстоятельства (ОС от ПМ).",,"1. Способен эффективно работать в режиме многозадачности (ОС от ПМ)
2. Способен объяснить как работает над несколькими задачами одновременно, не забросив какую-либо из них.",,"то же самое +:

1. Знает как решать сложные ситуации. Может привести пример таковой. 
2. Умеет разрешать конфликтные ситуации. Может рассказать как решает, привести пример.",,,,,
,,10,"Креативность, вариантивность",-,,"Высказывает идеи по повышению эффективности работы микрогруппы /отдела. Доносит их PM, а также принимает активное участие в их реализации. (ОС PM)
Способен привести минимум 1 пример.",,,,"1. Высказывает идеи по повышению эффективности работы микрогруппы /отдела. (ОС PM). Предложил и самостоятельно реализовал минимум 2 свои идеи. 
2. Выработал и утвердил правила разработки в рамках задачи",,,,,
,,11,Стрессоустойчивость,"Принимает любую обратную связь по работе. Выслушивает ее, не отрицает, спрашивает как работать над ошибками или над тем, чего не хватает.",,"то же самое +:

Если возникает стрессовая ситуация (сложная ситуация, цейтнот или др.), все равно решает ее, обращается за помощью к ПМ или коллегам. (Может привести пример + ОС от ПМ)",,"1. Знает что делать в сложной/стрессовой рабочей ситуации. Может привести пример.
2. Эффективно решает задачи в ситуации цейтнота (ОС PM,коллег)
3. В стрессовой ситуации способен контролировать эмоции (нет конфликтов, криков, гнева, реакций ухода от проблемы) (ОС от коллег, PM)",,,,,"то же самое +:

Видит плюсы возникшей сложной ситуации, способен проанализировать ее с разных сторон, учитывает мнения всех участников, возможные варианты решения с целью выделения наиблее оптимального и эффективного.",,
